airlineName,totalLoss,monthlyLoss
Delta Air Lines  ,458856.38,"$38,238"
Unnamed Airline,380139.2,"$31,678"
Southwest Airlines  ,358010.38,"$29,834"
UAL  ,307360.36,"$25,613"
American Airlines  ,296552.5,"$24,713"
USAir  ,161940.2,"$13,495"
Jet Blue,131257.6,"$10,938"
Continental Airlines  ,114641.86,"$9,553"
Alaska Airlines  ,104456.96,"$8,705"
AirTran Airlines,60612.94,"$5,051"
Frontier Airlines,46672.96,"$3,889"
British Airways  ,28602.53,"$2,384"
Spirit Airlines,28239.85,"$2,353"
Virgin America,27838.19,"$2,320"
Hawaiian Airlines  ,25847.92,"$2,154"
Allegiant Air,22595.11,"$1,883"
Lufthansa  ,22262.33,"$1,855"
Virgin Atlantic,19974.61,"$1,665"
Air Canada,15834.98,"$1,320"
Westjet Airlines Ltd  ,15529.99,"$1,294"
Cathay Pacific - CX,12634.35,"$1,053"
Asiana Airlines,9394.82,$783
Qantus Airways  ,8201.94,$683
Turkish Airlines  ,7098.96,$592
Emirates,6005.36,$500
Korean Airlines  ,5894.77,$491
Carribean Airlines,5796.04,$483
Singapore Airlines  ,5562.48,$464
TAM airlines,5277.45,$440
Scandinavian Airlines Systems  ,5178.67,$432
Iberia Airlines,4731.5,$394
Air France,4539.28,$378
Horizon Air,4257.66,$355
Sun Country Airlines Inc  ,3695.43,$308
EL AL Israeli Airlines  ,3541.63,$295
Swiss Air  ,3440.14,$287
Alitalia  ,3133.23,$261
Volaris Airlines,3130.38,$261
Air Berlin,2999.23,$250
EVA airlines,2892.54,$241
Austrian Airlines  ,2619.86,$218
Iceland Air  ,2538.29,$212
Aero Mexico,2390.28,$199
Copa Airlines,2304.27,$192
American Eagle  ,2298.97,$192
Northwest Airlines  ,2251.07,$188
Lan Airlines,2219.43,$185
Philippine Airlines,2212.05,$184
Avianca  ,2098.37,$175
Air India,2075.79,$173
Aero Flot,1948.57,$162
KLM Royal Dutch Airlines,1815.08,$151
Arik Airlines,1757.22,$146
vivaAerobus,1715.53,$143
Direct Air,1661.87,$138
Thai Airways  ,1578.2,$132
Qatar airlines,1502.68,$125
Midwest Express Airlines  ,1486.5,$124
TAP Portugal,1478.09,$123
Etihad Airways,1476.83,$123
Island Air,1405.69,$117
Jet Airways,1169.82,$97
V Australia,1129.36,$94
Western Pacific Airlines Inc Westpac  ,1116.19,$93
Air Pacific  ,1108.3,$92
Porter Airlines,1045.33,$87
South African Airways  ,1037.9,$86
Cape Air  ,923.81,$77
TACA airlines,871.45,$73
Mesa Airlines,836.33,$70
Aeroflot Russian International,832.98,$69
Skywest Airlines Inc USA  ,824.43,$69
Air China,796.05,$66
US Express,675.74,$56
Vision Airlines,671,$56
Japan Airlines  ,655.84,$55
OMNI Air Express- (OY),648.96,$54
Aer Lingus,581.98,$48
Mexicana  ,562.34,$47
Ethopian Airlines,556.43,$46
Virgin Express  ,552.5,$46
Transaero Airlines,547.4,$46
Kuwait Airlines  ,525,$44
Hainan Airlines,500,$42
China Eastern Airlines  ,495.97,$41
SunWing Airlines,442,$37
Great Lakes Airline,404.19,$34
Royal Dutch Airlines  ,400.99,$33
Saudi Arabian Airlines  ,399,$33
Aerolineas Argentinas,396.43,$33
KLM Royal Dutch Airlines  ,394.68,$33
Air Jamaica  ,385.58,$32
Condor Air,383.79,$32
All Nippon Airways  ,371.17,$31
Royal Jordanian Airline  ,370,$31
JALways Airlines,346.98,$29
Air Europa,332.65,$28
China Airlines  ,329.5,$27
XL Airways,324,$27
America Trans Air,307.09,$26
Croatia Airlines  ,279.95,$23
Delta (Song),244.21,$20
Egypt Air  ,236,$20
Southeast Airlines,220.94,$18
LOT Polish Airlines  ,213.56,$18
Pace Airlines,169.99,$14
Continental Express Inc  ,161.28,$13
America West  ,152.96,$13
Aeromar,150.73,$13
Santa Barbara Airlines,146.87,$12
Air New Zealand,124.12,$10
USA 3000 (U5),104.98,$9
Polish Airlines  ,94.82,$8
Monarch Airlines Ltd  ,83.48,$7
Bahama Airlines  ,80,$7
Sata,74.5,$6
Air New Zealand  ,70,$6
Air Tahiti Nui,70,$6
Comair Inc  ,65.88,$5
Thomas Cook Airline,56.38,$5
Pakistan International Airlines Cor  ,55,$5
Aerolitoral,48,$4
CanJet,39,$3
Skywest Airlines Australia  ,38,$3
Webjet,35,$3
ERA aviation Air,34.6,$3
Air Belgium International S A,29.37,$2
Finnair,24.95,$2
Frontier Aviation Inc  ,20,$2
Seaborne Airlines,15,$1
Indian Airlines  ,12.99,$1
Malaysian Airline System  ,12.5,$1
ATA Aerocondor,8.95,$1
Aero Costa Rica,0,$0
Aero Lineas Mexicanas J S S A De C V,0,$0
Aero Peru,0,$0
AeroGal,0,$0
Aerosvit Airlines,0,$0
Air 2000 Ltd Great Britain,0,$0
Air Afrique,0,$0
Air Atlanta Icelandic,0,$0
Air Ukraine International  ,0,$0
Aires Airline,0,$0
Aloha Airlines  ,0,$0
American Central  ,0,$0
Arika Isreali Airlines  ,0,$0
Aviaco  ,0,$0
Aviation Advantage Inc,0,$0
Brit Air  ,0,$0
Cameroon Airlines  ,0,$0
Canadian Airlines  ,0,$0
Cayman Airlines  ,0,$0
China Southern Airlines  ,0,$0
Cubana  ,0,$0
Eurowings  ,0,$0
Go,0,$0
Guyana Airways Corporation  ,0,$0
JAT  ,0,$0
Kuwait Airways  ,0,$0
Liat Airlines,0,$0
Malev Hungarian Airlines  ,0,$0
Martinair,0,$0
Maxair,0,$0
Middle East Airlines  ,0,$0
Midway Airlines  ,0,$0
Montair Aviation Inc  ,0,$0
North American Airlines,0,$0
Pacific Southwest Airlines Inc  ,0,$0
Pan American Airways Corp.,0,$0
Reno Air  ,0,$0
Royal Air Maroc,0,$0
Ryan Air ,0,$0
Silverjet,0,$0
SonAir,0,$0
Surinam Airways,0,$0
Travelspan,0,$0
Xtra Airways,0,$0
Air Botina,0,$0
Czech Airlines  ,0,$0